,District Name,January,February,March,April,May,June,July,August,September,October,November,December
69,Rayagada 2011,20.575,38.7,60.6,28.1,16.825,4.325,19.6,16.75,40.1,43.75,56.75,11.4
70,Varanasi 2011,33.775,27.8,47.475,24.125,25.3,28.025,38.325,19.925,30.675,53.775,58.025,20.5
71,Chandauli 2011,33.775,27.8,47.475,24.125,25.3,28.025,38.325,19.925,30.675,53.775,58.025,20.5
72,Fatehabad 2011,38.275,18.05,29.625,27.45,32.65,48.45,64.275,37.65,21.825,64.075,46.05,29.7
73,Ambala 2011,32.949999999999996,17.8,26.9,26.525000000000002,36.5,40.425,76.1,44.65,19.025,63.175,42.3,25.05
74,Gurdaspur 2011,32.0,18.4,22.825,30.275,40.275,32.475,96.875,65.375,25.15,65.35,50.1,23.175
75,Rewari 2011,37.775,17.725,30.125,28.325,35.45,66.4,69.5,36.175,24.675,63.4,49.35,30.225
76,Bhiwani 2011,37.775,17.725,30.125,28.325,35.45,66.4,69.5,36.175,24.675,63.4,49.35,30.225
77,Kurukshetra 2011,32.949999999999996,17.8,26.9,26.525000000000002,36.5,40.425,76.1,44.65,19.025,63.175,42.3,25.05
78,Jhajjar 2011,37.775,17.725,30.125,28.325,35.45,66.4,69.5,36.175,24.675,63.4,49.35,30.225
79,Jind 2011,38.275,18.05,29.625,27.45,32.65,48.45,64.275,37.65,21.825,64.075,46.05,29.7
80,Kaithal 2011,38.275,18.05,29.625,27.45,32.65,48.45,64.275,37.65,21.825,64.075,46.05,29.7
81,Panipat 2011,38.275,18.05,29.625,27.45,32.65,48.45,64.275,37.65,21.825,64.075,46.05,29.7
82,Saharanpur 2011,38.275,18.05,29.625,27.45,32.65,48.45,64.275,37.65,21.825,64.075,46.05,29.7
83,Muzaffarnagar 2011,38.275,18.05,29.625,27.45,32.65,48.45,64.275,37.65,21.825,64.075,46.05,29.7
84,Panchsheel nagar 2011,37.775,17.725,30.125,28.325,35.45,66.4,69.5,36.175,24.675,63.4,49.35,30.225
85,Nirmal 2011,21.675,40.625,61.475,29.275000000000002,17.25,3.4000000000000004,19.9,15.375,48.225,52.0,54.625,10.875
86,Siddipet 2011,18.975,29.975,54.525,26.9,13.85,4.475,17.05,15.2,34.575,39.3,52.95,13.2
87,East Godavari 2011,20.325,40.475,62.525,28.75,17.325000000000003,4.625,19.9,17.975,42.15,44.5,58.6,11.225
88,Dausa 2011,37.875,25.425,40.2,25.55,33.275,52.449999999999996,52.925,26.175,28.825,59.5,57.275,26.925
89,Bharatpur 2011,38.4,18.85,29.9,27.325,39.75,79.1,69.925,33.65,26.125,65.65,52.95,33.425
90,Ajmer 2011,40.9,21.875,31.025,24.65,41.2,73.05,68.89999999999999,32.625,28.2,68.75,56.7,32.775
91,Banaskantha 2011,45.35,22.625,41.45,22.675,36.325,44.225,57.550000000000004,27.025,24.575,64.325,68.825,29.1
92,Patan 2011,46.15,23.95,56.8,27.15,36.35,43.45,48.15,28.325,24.5,69.3,81.64999999999999,31.200000000000003
93,Sabarkantha 2011,46.15,23.95,56.8,27.15,36.35,43.45,48.15,28.325,24.5,69.3,81.64999999999999,31.200000000000003
94,Gandhinagar 2011,46.15,23.95,56.8,27.15,36.35,43.45,48.15,28.325,24.5,69.3,81.64999999999999,31.200000000000003
95,Mehsana 2011,46.15,23.95,56.8,27.15,36.35,43.45,48.15,28.325,24.5,69.3,81.64999999999999,31.200000000000003
96,Aravalli 2011,46.15,23.95,56.8,27.15,36.35,43.45,48.15,28.325,24.5,69.3,81.64999999999999,31.200000000000003
97,Junagadh 2011,53.55,21.775,67.4,29.5,31.925,39.575,51.975,28.45,40.8,68.175,87.525,28.05
98,Jamnagar 2011,53.2,21.175,72.525,40.625,35.625,37.875,47.425,27.75,30.375,57.925,93.95,23.725
99,Rajkot 2011,53.2,21.175,72.525,40.625,35.625,37.875,47.425,27.75,30.375,57.925,93.95,23.725
